Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-08-10,89.3228,90.4966,88.3205,90.1554,893968.73587609
2021-08-11,89.6255,91.1973,89.0615,90.9368,679276.39485833
2021-08-12,90.847,90.847,89.4997,89.8501,297115.92221545
2021-08-13,89.8051,91.2871,89.1054,91.2871,357413.80225195
2021-08-16,90.3261,91.3679,89.9308,90.847,250148.91073787
2021-08-17,90.6763,91.0626,88.4516,91.0626,596594.50233469
2021-08-18,90.9368,90.9368,90.0206,90.9368,355466.44660929
2021-08-19,90.1913,90.847,88.1022,89.3228,420454.01330495
2021-08-20,89.2797,90.0655,88.6259,89.0615,210622.82422307
2021-08-23,89.4548,89.9308,89.1054,89.4548,182108.37138802
2021-08-24,89.8859,89.9308,88.7561,89.8859,172056.4978935
2021-08-25,89.4548,91.0626,88.6259,91.0266,471803.41003668
2021-08-26,90.5865,91.1075,89.9757,90.5416,169958.83178099
2021-08-27,90.0655,91.1973,89.9308,91.1973,259020.56869139
2021-08-30,91.3679,93.6851,91.2422,92.1582,449731.1525981
2021-08-31,91.5924,93.5953,91.5475,93.4606,649717.56261058
2021-09-01,93.5953,94.9065,93.5504,94.6371,522344.47046391
2021-09-02,94.1611,94.7269,92.4187,94.7269,415424.73632503
2021-09-03,94.6012,94.6012,93.5055,94.1611,221438.49758659
2021-09-06,94.1611,95.8227,93.9007,95.8227,335137.79062092
2021-09-07,95.7333,96.9547,95.1221,95.778,459009.20552565
2021-09-08,95.7333,95.7333,94.1611,95.3822,494603.83819584
2021-09-09,95.2034,95.2034,92.8678,93.4965,475571.1924808
2021-09-10,93.8558,95.9663,93.4067,93.766,390560.04438
2021-09-13,93.7211,96.2812,93.6762,96.2812,381842.03712899
2021-09-14,96.2812,96.6845,95.2928,96.1014,516392.17585804
2021-09-15,94.8437,95.6067,93.0924,93.1373,538928.72563681
2021-09-16,93.3169,95.2034,93.2271,94.8437,365939.18941938
2021-09-17,93.9904,94.7538,92.5086,92.8229,816391.83227274
2021-09-20,91.9248,91.9248,88.1795,89.2932,665294.18093008
2021-09-21,89.2932,90.9817,89.2932,90.4877,685596.11505715
2021-09-22,91.0715,93.9456,91.0715,93.8109,394223.16620067
2021-09-23,94.3048,94.7538,92.3289,92.778,348871.7139212
2021-09-24,92.8229,93.5863,92.0595,93.1822,273966.99644843
2021-09-27,93.6312,96.7749,92.7331,94.2149,768794.6302327
2021-09-28,93.766,94.3497,92.5086,92.8229,383639.0823018
2021-09-29,93.4965,94.2149,92.5086,93.5863,224376.78891933
2021-09-30,94.4395,94.4395,92.2391,92.5535,738559.9575761
2021-10-01,91.6104,97.4484,88.4669,97.4484,1381799.6956418
2021-10-04,96.9994,101.76,95.9663,99.0199,1628062.8023815
2021-10-05,98.3911,100.457,97.8974,100.098,652813.95828939
2021-10-06,100.098,104.993,98.706,102.747,1802614.4540744
2021-10-07,103.825,104.993,103.511,104.993,1594409.9582995
2021-10-08,104.993,107.957,104.813,107.462,1673709.3085462
2021-10-11,107.462,110.022,106.879,109.573,818639.80885509
2021-10-12,108.855,110.875,107.777,110.022,1220293.8793205
2021-10-13,109.573,110.562,107.418,107.867,942712.7511305
2021-10-14,107.867,110.74,107.597,110.74,783109.75401639
2021-10-15,110.562,111.549,109.393,110.92,1063569.0493512
2021-10-18,110.965,113.345,110.92,111.28,557973.61887162
